,bath,bed,isVavcantLand,price,sqft,zpid,address
0,2.5,3.0,False,599000.0,1331.0,2101028307,2052-NW-64th-St-Seattle-WA-98107
1,4.0,3.0,False,680000.0,1513.0,2101028308,6404-22nd-Ave-NW-Seattle-WA-98107
2,4.0,3.0,False,680000.0,1502.0,2101029232,1762-NW-61st-St-A-Seattle-WA-98107
3,2.0,3.0,False,690000.0,1668.0,2101031353,1762A-NW-61st-St-Seattle-WA-98107
4,2.0,3.0,False,690000.0,1668.0,2101031352,1764-NW-61st-St-Seattle-WA-98107
5,3.0,3.0,False,700000.0,1664.0,2101032649,1760-NW-61st-St-Seattle-WA-98107
6,2.0,3.0,False,710000.0,1658.0,2101044605,2607-NW-59th-St-Seattle-WA-98107
7,2.0,2.0,False,575000.0,1250.0,2105741419,2000-NW-57th-St-Seattle-WA-98107
8,2.0,2.0,False,600000.0,1230.0,2101116419,6411-26th-Ave-NW-Seattle-WA-98107
9,3.0,3.0,False,630000.0,1200.0,72497529,5615-24th-Ave-NW-UNIT-53-Seattle-WA-98107
10,1.0,1.0,False,360000.0,724.0,48860936,1770-NW-58th-St-APT-426-Seattle-WA-98107
11,1.0,2.0,False,325000.0,863.0,63510047,1545-NW-57th-St-UNIT-333-Seattle-WA-98107
12,1.0,1.0,False,320000.0,747.0,70585145,2641-NW-59th-St-UNIT-A-Seattle-WA-98107
13,4.0,3.0,False,575000.0,1421.0,54938925,1525-NW-57th-St-UNIT-511-Seattle-WA-98107
14,1.0,1.0,False,305000.0,698.0,63335794,2410-NW-59th-St-A-Seattle-WA-98107
15,2.5,3.0,False,579000.0,1540.0,48823536,1548-NW-58th-St-A-Seattle-WA-98107
16,2.0,2.0,False,475000.0,1520.0,2101393141,5703-20th-Ave-NW-Seattle-WA-98107
17,2.0,2.0,False,550000.0,1194.0,70585223,1736-NW-59th-St-B-Seattle-WA-98107
18,3.25,3.0,False,597000.0,1555.0,48823350,1711-NW-61st-St-Seattle-WA-98107
19,2.0,3.0,False,825000.0,2200.0,54657760,1525-NW-57th-St-UNIT-407-Seattle-WA-98107
20,2.0,2.0,False,420000.0,964.0,84759478,5440-Leary-Ave-NW-UNIT-526-Seattle-WA-98107
22,3.75,7.0,False,942000.0,3740.0,2102027315,2043A-NW-64th-St-Seattle-WA-98107
24,2.0,2.0,False,649000.0,1131.0,2103289114,1760-NW-56th-St-507-Seattle-WA-98107
26,1.75,3.0,False,510000.0,1585.0,48823200,1737-NW-62nd-St-Seattle-WA-98107
27,1.0,3.0,False,700000.0,1200.0,2106576811,1760-NW-56th-St-418-Seattle-WA-98107
28,2.0,2.0,False,730000.0,1131.0,48823195,1548-NW-61st-St-Seattle-WA-98107
