,bath,bed,isVavcantLand,price,sqft,zpid,address
0,4.0,4.0,False,19000000.0,3436.0,2102943021,10832-NE-37th-Pl-APT-1-Bellevue-WA-98004
1,1.75,2.0,False,375000.0,1115.0,2126951343,6693-SE-Cougar-Mountain-Way-Bellevue-WA-98006
2,2.5,3.0,False,290000.0,1185.0,54425271,14652-SE-8th-St-Bellevue-WA-98007
3,4.0,5.0,False,19000000.0,6518.0,48908003,4-Lake-Bellevue-Dr-APT-111-Bellevue-WA-98005
4,2.0,2.0,False,325000.0,1017.0,48920994,12455-SE-26th-Pl-Bellevue-WA-98005
6,5.0,5.0,False,26000000.0,4322.0,2101024305,4246-155th-Pl-SE-UNIT-2-2-Bellevue-WA-98006
7,2.0,2.0,False,400000.0,1510.0,48914555,15902-SE-4th-St-Bellevue-WA-98008
8,2.0,3.0,False,595000.0,1620.0,2116015477,1750-152nd-Ave-NE-APT-C314-Bellevue-WA-98007
9,1.0,1.0,False,145000.0,833.0,72494634,503-142nd-Ave-SE-APT-65-Bellevue-WA-98007
10,1.5,2.0,False,270000.0,930.0,2101029375,12517-NE-23rd-Pl-A3-Bellevue-WA-98005
11,2.0,2.0,False,270000.0,1206.0,48966579,9817-SE-Shoreland-Dr-Bellevue-WA-98004
12,,0.0,False,12000000.0,3980.0,49113444,9613-Vineyard-Crst-Bellevue-WA-98004
13,2.0,3.0,False,15900000.0,1850.0,63301640,2220-132nd-Ave-SE-APT-A217-Bellevue-WA-98005
14,1.5,1.0,False,298000.0,1109.0,48898686,2129-Blarney-Pl-SE-Bellevue-WA-98004
15,,,True,13000000.0,,48924534,2011-168th-Ave-SE-Bellevue-WA-98008
16,3.0,5.0,False,699000.0,2459.0,49062368,4748-133rd-Ave-SE-Bellevue-WA-98006
17,2.75,3.0,False,959000.0,2680.0,48733789,13664-NE-37th-Pl-Bellevue-WA-98005
18,2.25,5.0,False,11800000.0,4220.0,48883639,1035-156th-Ave-NE-APT-24T-Bellevue-WA-98007
19,2.5,2.0,False,400000.0,1465.0,2101718751,2600-118th-Ave-SE-APT-4-302-Bellevue-WA-98005
20,2.0,2.0,False,255000.0,885.0,2101038749,5379-164th-Ave-SE-UNIT-11-6-Bellevue-WA-98006
21,2.0,2.0,False,380000.0,1154.0,48783975,15310-SE-38th-Pl-Bellevue-WA-98006
22,2.0,4.0,False,625000.0,1969.0,2101039071,16918-SE-34th-St-Bellevue-WA-98008
23,,,True,470000.0,,2101039079,16908-SE-34th-St-Bellevue-WA-98008
24,5.0,5.0,False,29000000,5211.0,2101039493,3950-Lake-Washington-Blvd-SE-D10-Bellevue-WA-98006
25,1.5,2.0,False,235000,880.0,49086584,17404-NE-14th-St-Bellevue-WA-98008
26,3.0,4.0,False,680000,1450.0,63339748,4106-Factoria-Blvd-SE-Bellevue-WA-98006
27,1.0,2.0,False,275000,898.0,2107123459,7358-171st-Ave-SE-Bellevue-WA-98006
28,4.0,5.0,False,15000000,4030.0,48856207,1733-172nd-Pl-NE-Bellevue-WA-98008
29,2.0,3.0,False,674000,1740.0,48873400,225-140th-Ave-NE-Bellevue-WA-98005
30,2.0,4.0,False,795000,2270.0,49002616,13121-NE-38th-Pl-Bellevue-WA-98005
32,7.0,5.0,False,16500000,13610.0,48674568,2431-139th-Ave-SE-Bellevue-WA-98005
34,,0.0,True,350000,,48785045,1320-142nd-Pl-SE-Bellevue-WA-98007
35,2.0,4.0,False,599000,1830.0,2127816355,12140-NE-24th-St-APT-102-Bellevue-WA-98005
36,2.5,3.0,False,540000,1723.0,49129856,15302-SE-46th-Way-Bellevue-WA-98006
37,2.5,4.0,False,675000,2687.0,48837761,1406-Bellevue-Way-NE-Bellevue-WA-98004
38,3.0,3.0,False,12000000,1710.0,48924080,6693-SE-Cougar-Mountain-Way-1-Bellevue-WA-98006
40,4.0,5.0,False,22500000,3826.0,2101067358,500-106th-Ave-NE-UNIT-3105-Bellevue-WA-98004
41,3.0,2.0,False,19000000,2121.0,48977014,16143-SE-Newport-Way-Bellevue-WA-98006
42,3.0,4.0,False,699000,2560.0,48683440,177-107th-Ave-NE-APT-1902-Bellevue-WA-98004
43,3.0,3.0,False,765000,1754.0,49141255,10261-NE-21st-Pl-Bellevue-WA-98004
44,2.5,5.0,False,15900000,2050.0,2101079308,10129-Main-Street-305-Bellevue-WA-98004
45,1.5,2.0,False,459000,1000.0,49014107,3264-112th-Ave-SE-Bellevue-WA-98004
46,1.75,3.0,False,17000000,1790.0,48682773,10201-SE-6th-St-Bellevue-WA-98004
48,,,False,,,49133201,3414-161st-Ct-SE-APT-18-Bellevue-WA-98008
49,2.0,2.0,False,375000,1286.0,48979051,5219-117th-Ave-SE-Bellevue-WA-98006
50,1.75,3.0,False,577000,1570.0,48756837,15620-SE-42nd-Pl-Bellevue-WA-98006
51,3.0,5.0,False,819000,3050.0,48691594,10319-SE-30th-St-Bellevue-WA-98004
52,5.25,4.0,False,55000000,6920.0,48770380,6927-128th-Pl-SE-Bellevue-WA-98006
53,2.5,3.0,False,579000,1670.0,49095062,13805-Main-St-Bellevue-WA-98005
54,1.75,4.0,False,875000,2120.0,2105858426,701-122nd-Ave-NE-Bellevue-WA-98005
55,1.75,2.0,False,290000,867.0,48680456,1223-96th-Ave-SE-Bellevue-WA-98004
56,3.0,5.0,False,49900000,4187.0,2101100062,12619-Se-42nd-Street-12524-Bellevue-WA-98006
57,2.25,3.0,False,309000,1396.0,48793499,162-128TH-Ave-NE-Bellevue-WA-98005
58,3.0,4.0,False,840000,2650.0,48923558,16910-SE-58th-St-Bellevue-WA-98006
59,4.0,4.0,False,20900000,5010.0,49105499,14424-SE-23rd-Pl-Bellevue-WA-98007
60,3.0,3.0,False,585000,1950.0,49091822,14630-NE-35th-St-Bellevue-WA-98007
61,1.5,2.0,False,238000,858.0,48770002,16930-SE-32nd-Pl-Bellevue-WA-98008
62,2.5,4.0,False,850000,2660.0,2101788877,538-99th-Ave-NE-Bellevue-WA-98004
63,3.5,3.0,False,17900000,2967.0,48850228,11052-SE-9th-St-Bellevue-WA-98004
64,3.0,4.0,False,798000,2690.0,48702724,948-178th-Ave-NE-Bellevue-WA-98008
65,2.75,4.0,False,849000,4110.0,92398709,16445-SE-44th-Pl-Bellevue-WA-98006
67,,,False,,,48914643,427-174th-Pl-NE-Bellevue-WA-98008
68,3.0,3.0,False,890000,2770.0,48914589,17256-NE-7th-Pl-Bellevue-WA-98008
69,2.75,4.0,False,850000,2610.0,48987622,2641-126th-Ave-NE-Bellevue-WA-98005
70,3.0,3.0,False,699000,2000.0,48894445,12430-NE-7th-Pl-Bellevue-WA-98005
71,2.5,3.0,False,525000,1450.0,2101124436,7089-171st-Ave-SE-Bellevue-WA-98006
72,5.0,5.0,False,22300000,5268.0,49030697,16790-SE-63rd-Pl-Bellevue-WA-98006
73,4.0,5.0,False,11900000,4350.0,49080128,5322-156th-Ave-SE-Bellevue-WA-98006
74,3.0,4.0,False,15700000,3685.0,48743478,15008-NE-16th-St-Bellevue-WA-98007
75,3.0,4.0,False,635000,2130.0,48988810,15623-NE-18th-St-D201-Bellevue-WA-98008
76,2.0,2.0,False,335000,1187.0,48865488,6216-108th-Ave-SE-Bellevue-WA-98006
77,2.0,3.0,False,485000,2000.0,48977036,16143-SE-42nd-St-Bellevue-WA-98006
78,2.0,3.0,False,569000,1513.0,48738213,3020-125th-Ave-SE-UNIT-8-Bellevue-WA-98005
79,2.0,2.0,False,218000,954.0,48980496,3540-Lake-Washington-Blvd-SE-APT-111-Bellevue-WA-98006
81,,,False,,,49015950,14616-NE-44th-St-APT-M11-Bellevue-WA-98007
82,2.0,2.0,False,225000,1086.0,48740097,5508-132nd-Ave-NE-Bellevue-WA-98005
83,2.5,4.0,False,14000000,3790.0,49037091,1418-W-Lake-Sammamish-Pkwy-NE-Bellevue-WA-98008
84,2.5,5.0,False,26000000,3800.0,48789767,4908-131st-Pl-SE-Bellevue-WA-98006
85,2.0,4.0,False,750000,2270.0,49085965,218-108th-Ave-SE-Bellevue-WA-98004
86,3.0,3.0,False,795000,2750.0,49063285,4467-146th-Ave-SE-Bellevue-WA-98006
87,2.5,3.0,False,635000,2.0,49053038,15809-SE-45th-Pl-Bellevue-WA-98006
88,3.25,4.0,False,12500000,4010.0,2101151297,10522-NE-32nd-Pl-Bellevue-WA-98004
89,1.75,2.0,False,290000,962.0,48746915,12627-SE-Coal-Creek-Pkwy-Bellevue-WA-98006
90,,3.0,True,25600000,2410.0,2101151816,14735-NE-31st-St-APT-C2-Bellevue-WA-98007
91,1.0,2.0,False,275000,1087.0,65229958,12621-SE-41st-Pl-APT-G101-Bellevue-WA-98006
92,2.0,2.0,False,226000,882.0,84756377,10610-NE-9th-Pl-UNIT-500-Bellevue-WA-98004
93,1.0,1.0,False,450000,683.0,49088260,4690-149th-Ave-SE-Bellevue-WA-98006
94,4.5,5.0,False,11800000,4075.0,49098790,16245-NE-12th-Ct-APT-G93-Bellevue-WA-98008
95,2.0,3.0,False,225000,1052.0,48856149,17224-NE-16th-Pl-Bellevue-WA-98008
96,3.0,4.0,False,12500000,3490.0,48913679,131-157th-Ave-NE-Bellevue-WA-98008
97,1.75,3.0,False,530000,1930.0,48683351,177-107th-Ave-NE-APT-907-Bellevue-WA-98004
98,2.0,3.0,False,549000,1222.0,48662883,16549-NE-27th-Pl-Bellevue-WA-98008
99,2.0,3.0,False,520000,1460.0,48749367,16217-SE-48th-St-Bellevue-WA-98006
101,,,False,,,48913292,15828-SE-5th-Pl-Bellevue-WA-98008
102,3.0,4.0,False,615000,2430.0,48937422,9632-Lake-Washington-Blvd-NE-Bellevue-WA-98004
103,5.0,4.0,False,66900000,7458.0,49141744,1702-126th-Ave-SE-Bellevue-WA-98005
104,3.0,5.0,False,825000,2830.0,48812227,5855-146th-Pl-SE-Bellevue-WA-98006
105,4.0,6.0,False,11800000,3910.0,2117537342,500-106th-Ave-NE-UNIT-907-Bellevue-WA-98004
106,2.0,1.0,False,569000,1043.0,2101166850,10522-NE-32nd-Pl-APT-J202-Bellevue-WA-98004
107,2.0,2.0,False,290000,962.0,48814672,5423-134th-Ave-SE-Bellevue-WA-98006
108,3.5,5.0,False,980000,3430.0,49035050,1274-167th-Ave-SE-Bellevue-WA-98008
109,2.75,4.0,False,749000,3210.0,48784090,4071-155th-Ave-SE-Bellevue-WA-98006
110,1.5,3.0,False,480000,1290.0,54902110,1100-106th-Ave-NE-APT-202-Bellevue-WA-98004
111,1.75,2.0,False,559000,1158.0,48865485,6322-108th-Ave-SE-Bellevue-WA-98006
112,3.5,4.0,False,15000000,3026.0,48777016,13825-SE-10th-St-Bellevue-WA-98005
113,4.0,5.0,False,22500000,4494.0,48924192,6549-SE-Cougar-Mountain-Way-Bellevue-WA-98006
114,2.0,2.0,False,385000,1138.0,48799536,3110-109th-Ave-SE-Bellevue-WA-98004
115,3.75,4.0,False,18500000,3392.0,48876351,4546-153rd-Ave-SE-Bellevue-WA-98006
116,2.75,3.0,False,700000,2640.0,49080707,9815-NE-30th-St-Bellevue-WA-98004
117,4.5,5.0,False,25000000,5230.0,48927632,4165-178th-Ln-SE-APT-104-Bellevue-WA-98008
118,2.0,2.0,False,330000,917.0,48913439,16231-NE-1st-St-Bellevue-WA-98008
119,4.0,8.0,False,880000,3800.0,49080824,9801-NE-24th-St-Bellevue-WA-98004
120,2.5,4.0,False,895000,2310.0,82363593,4515-125th-Ave-SE-APT-210-Bellevue-WA-98006
121,2.0,2.0,False,248000,1003.0,48915640,16564-SE-19th-St-Bellevue-WA-98008
122,2.5,5.0,False,750000,3200.0,48702761,17400-NE-12th-St-Bellevue-WA-98008
123,2.75,4.0,False,620000,1980.0,49059068,17206-SE-46th-St-Bellevue-WA-98006
124,2.5,4.0,False,935000,2553.0,2101195626,10650-NE-9th-Pl-UNIT-1128-Bellevue-WA-98004
125,1.0,1.0,False,580000,921.0,2101199692,10650-Ne-9th-Pl-UNIT-5209-Bellevue-WA-98004
126,1.0,1.0,False,399000,720.0,96703450,3115-113th-Ave-SE-Bellevue-WA-98004
127,,0.0,True,12000000,,2101204285,173-SE-42nd-Ct-Bellevue-WA-98006
128,,,True,525000,,48980409,12302-SE-47th-St-Bellevue-WA-98006
129,2.75,4.0,False,745000,2547.0,2101209147,500-106th-Ave-NE-UNIT-2213-Bellevue-WA-98004
130,1.5,1.0,False,725000,1368.0,2101212580,4106-Factoria-Blvd-SE-C111-Bellevue-WA-98006
131,1.0,1.0,False,187000,700.0,48683255,14605-NE-34th-St-H-1H1-Bellevue-WA-98007
132,2.0,3.0,False,196000,1062.0,2101220404,14405-NE-32nd-St-APT-K303-Bellevue-WA-98007
133,1.0,1.0,False,140000,686.0,48924147,6741-SE-Cougar-Mountain-Way-Bellevue-WA-98006
134,3.0,2.0,False,390000,1346.0,84755355,6326-170th-Pl-SE-Bellevue-WA-98006
135,8.0,6.0,False,31000000,8790.0,2101230274,172-SE-64th-Ct-Lots-1-7-Bellevue-WA-98006
136,,,True,10800000,,49128640,13817-SE-52nd-Pl-Bellevue-WA-98006
