,bath,bed,isVavcantLand,price,sqft,zpid,address
0,1.0,1.0,False,84000.0,637.0,48713140,11610-26th-Ave-SW-Burien-WA-98146
1,3.0,4.0,False,425000.0,2850.0,48839673,16223-13th-Ave-SW-Burien-WA-98166
2,1.0,1.0,False,285000.0,885.0,48838472,16920-22nd-Ave-SW-Burien-WA-98166
3,2.0,3.0,False,400000.0,1510.0,48944445,331-S-183rd-St-Burien-WA-98148
4,3.0,3.0,False,359000.0,2340.0,48712464,15813-6th-Ave-SW-Burien-WA-98166
5,3.5,4.0,False,555000.0,3060.0,2123032949,409-SW-155th-St-Burien-WA-98166
6,,0.0,False,895000.0,5972.0,49049004,16507-Maplewild-Ave-SW-Burien-WA-98166
7,2.0,3.0,False,450000.0,1246.0,49056259,12144-Marine-View-Dr-SW-Burien-WA-98146
8,2.0,4.0,False,862000.0,2927.0,48713208,2632-SW-120th-St-Burien-WA-98146
9,2.0,5.0,False,449000.0,1810.0,49144780,18402-2nd-Ave-S-Burien-WA-98148
10,1.5,3.0,False,339000.0,1630.0,48940656,15813-23rd-Ave-SW-Burien-WA-98166
11,5.0,4.0,False,14500000.0,6060.0,49049397,2215-SW-149th-St-Burien-WA-98166
12,2.0,3.0,False,475000.0,2400.0,2146966248,1249-SW-132nd-Ln-APT-1243-Burien-WA-98146
13,2.0,2.0,False,189000.0,1150.0,48977150,1234-S-130th-St-Burien-WA-98168
14,1.0,1.0,False,200000.0,550.0,48838320,2828-SW-169th-St-Burien-WA-98166
15,2.0,3.0,False,449000.0,1930.0,48748624,727-SW-146th-St-Burien-WA-98166
16,1.75,4.0,False,430000.0,1365.0,48977161,1427-S-129th-St-Burien-WA-98168
17,0.75,1.0,False,156000.0,680.0,48754675,14709-8th-Ave-S-Burien-WA-98168
18,2.75,2.0,False,175000.0,1440.0,49056513,12111-Marine-View-Dr-SW-Burien-WA-98146
19,3.75,5.0,False,775000.0,3400.0,48931977,644-SW-144th-Pl-Burien-WA-98166
20,1.0,4.0,False,388000.0,1980.0,48733947,13240-Occidental-Ave-S-Burien-WA-98168
21,,0.0,False,220000.0,760.0,48898013,1313-SW-116th-St-Burien-WA-98146
22,2.75,4.0,False,260000.0,1725.0,54829537,13417-Occidental-Ave-S-Burien-WA-98168
23,3.0,4.0,False,420000.0,1880.0,48877494,11639-18th-Ave-SW-Burien-WA-98146
24,3.0,4.0,False,530000,3130.0,72496680,1036-SW-130TH-St-B-Burien-WA-98146
25,2.0,3.0,False,232000,1262.0,48811412,13104-12th-Ave-S-Burien-WA-98168
26,1.75,3.0,False,385000,2090.0,49079332,15711-4th-Ave-S-APT-33-Burien-WA-98148
27,1.0,1.0,False,115000,660.0,49060515,1315-SW-128th-St-Burien-WA-98146
30,,,False,340000,,48766199,1015-SW-151st-St-Burien-WA-98166
31,2.0,2.0,False,250000,790.0,48981984,15212-27th-Ave-SW-Burien-WA-98166
32,1.75,4.0,False,734000,2240.0,2101198926,643-S-150th-St-Burien-WA-98148
33,3.0,5.0,False,409000,2337.0,2101210960,13205-1st-Ave-S-Burien-WA-98168
34,,0.0,True,179000,,48762412,2412-SW-172nd-St-Burien-WA-98166
35,1.0,3.0,False,425000,2360.0,48761163,848-SW-132nd-St-Burien-WA-98146
36,2.0,3.0,False,400000,1440.0,48880012,1431-SW-137th-St-Burien-WA-98166
37,2.0,4.0,False,530000,2620.0,48767609,302-SW-146th-St-Burien-WA-98166
38,3.5,7.0,False,750000,3140.0,2101288572,15244-24th-Ave-SW-Burien-WA-98166
39,3.0,3.0,False,100000,5823.0,49148619,1411-SW-148th-St-Burien-WA-98166
40,1.5,3.0,False,375000,1380.0,2101311643,383-S-163rd-St-Burien-WA-98148
41,2.5,4.0,False,495000,2676.0,2101311666,351-S-163rd-St-Burien-WA-98148
42,2.5,4.0,False,500000,2676.0,2101311667,241-S-163rd-St-Burien-WA-98148
43,2.5,4.0,False,517000,2811.0,2101311789,369-S-163rd-St-Burien-WA-98148
44,2.5,4.0,False,504000,2819.0,2101311820,335-S-163rd-St-Burien-WA-98148
45,2.5,4.0,False,525000,2819.0,2101311825,285-S-163rd-St-Burien-WA-98148
46,2.5,4.0,False,533000,2819.0,2101311833,265-S-163rd-St-Burien-WA-98092
47,2.5,4.0,False,499000,2819.0,2141499631,17430-Ambaum-Blvd-S-APT-47-Seattle-WA-98148
48,,4.0,False,400000,2920.0,49079321,15707-4th-Ave-S-APT-34-Burien-WA-98148
51,,,False,378000,,2101376327,17624-1st-Ave-S-APT-C201-Burien-WA-98148
52,2.0,3.0,False,169000,1104.0,48850079,652-SW-150th-St-Burien-WA-98166
54,,,False,423000,,2124152449,0-S-152nd-St-Burien-WA-98148
55,,,True,165000,,48806220,2440-SW-170th-St-Burien-WA-98166
56,1.0,3.0,False,400000,1500.0,82366505,16239-2nd-Pl-S-14-Burien-WA-98148
57,3.5,4.0,False,464000,2269.0,48934911,14322-11th-Ave-SW-Burien-WA-98166
58,2.0,4.0,False,369000,1650.0,49056276,12202-Marine-View-Dr-SW-Burien-WA-98146
59,2.75,3.0,False,799000,3140.0,48839683,16220-13th-Ave-SW-Burien-WA-98166
61,1.5,4.0,False,250000,1300.0,2108088545,1239-SW-132nd-Ln-APT-812-Burien-WA-98146
62,2.0,2.0,False,185000,1080.0,48767493,1230-SW-157th-St-Burien-WA-98166
63,2.0,3.0,False,311000,1590.0,49056482,11935-Marine-View-Dr-SW-Burien-WA-98146
64,5.0,4.0,False,948000,4090.0,48761164,515-SW-128th-St-Burien-WA-98146
65,1.0,4.0,False,293000,3300.0,89824956,15100-6th-Ave-SW-UNIT-305-Burien-WA-98166
66,2.1,2.0,False,360000,1427.0,48982430,1925-SW-170th-St-Normandy-Park-WA-98166
67,2.75,4.0,False,650000,2760.0,48651559,126-SW-129th-St-Burien-WA-98146
68,2.0,3.0,False,250000,2320.0,48734288,13442-6th-Ave-S-Burien-WA-98168
69,1.0,3.0,False,233000,1410.0,48943400,13635-Occidental-Ave-S-Burien-WA-98168
71,1.75,4.0,False,595000,2400.0,48661313,16436-13th-Ave-SW-Burien-WA-98166
72,3.0,4.0,False,280000,2100.0,48712143,16012-6th-Ave-SW-Burien-WA-98166
73,2.75,4.0,False,550000,3137.0,48840641,16615-16th-Ave-SW-Burien-WA-98166
74,1.75,5.0,False,399000,2120.0,2101723762,2402-SW-154th-Pl-Burien-WA-98166
75,3.1,4.0,False,850000,3602.0,2101723761,2401-SW-154-Pl-Burien-WA-98166
76,2.1,4.0,False,850000,3416.0,49049472,15021-28th-Ave-SW-Burien-WA-98166
77,4.5,4.0,False,995000,4188.0,49114455,829-S-147th-St-Burien-WA-98168
79,1.0,3.0,False,320000,1760.0,48939295,344-S-184th-St-Burien-WA-98148
80,1.0,2.0,False,196000,720.0,49049068,16031-Maplewild-Ave-SW-Burien-WA-98166
81,4.5,4.0,False,20900000,4723.0,2101836682,31-SW-170th-St-Burien-WA-98166
82,,,True,190000,,2118406414,16257-2nd-Pl-S-Burien-WA-98148
83,3.5,4.0,False,from 280000,2174.0,2108063397,1223-SW-126th-St-UNIT-1221D-Burien-WA-98146
84,1.0,2.0,False,from 48000,877.0,48940605,15904-20th-Ave-SW-Burien-WA-98166
86,2.5,3.0,False,387000,2490.0,48935456,866-SW-139th-St-Burien-WA-98166
87,2.0,4.0,False,330000,1700.0,48839614,16200-16th-Ave-SW-Burien-WA-98166
88,2.75,4.0,False,465000,2740.0,48767486,1247-SW-152nd-St-Burien-WA-98166
90,1.0,1.0,False,228000,1080.0,2109128105,198-Des-Moines-Memorial-Dr-S-Des-Moines-WA-98148
91,,,True,145000,62726.0,48762462,2435-Sylvester-Rd-SW-Burien-WA-98166
92,2.0,4.0,False,900000,2800.0,48751815,13422-12th-Ave-S-Burien-WA-98168
93,2.0,5.0,False,300000,2270.0,48838379,16823-33rd-Ave-SW-Burien-WA-98166
94,3.0,3.0,False,995000,4040.0,2102122374,12901-8th-Ave-S-Burien-WA-98168
96,1.5,3.0,False,275000,1070.0,48860728,17431-Ambaum-Blvd-S-UNIT-B9-Seattle-WA-98148
97,1.0,1.0,False,90000,637.0,65221854,12227-Shorewood-Dr-SW-Burien-WA-98146
100,1.5,4.0,False,289000,1710.0,48713292,11616-23rd-Ave-SW-Burien-WA-98146
101,2.0,4.0,False,400000,1760.0,48839768,16256-9th-Ave-SW-Burien-WA-98166
102,2.0,2.0,False,259000,1220.0,48935088,2136-SW-167th-St-Burien-WA-98166
103,4.0,5.0,False,750000,2476.0,49049008,16527-Maplewild-Ave-SW-Burien-WA-98166
105,1.0,2.0,False,384000,1660.0,49054880,1445-SW-129th-St-Burien-WA-98146
106,3.25,5.0,False,698000,3620.0,48817070,3774-SW-171st-St-Burien-WA-98166
107,3.5,3.0,False,20000000,3360.0,48734129,13417-4th-Ave-S-Burien-WA-98168
109,1.0,2.0,False,246000,830.0,48773714,449-S-189th-St-Seattle-WA-98148
110,2.0,4.0,False,256000,1460.0,2102663793,134-S-163rd-Ln-Burien-WA-98148
111,4.0,4.0,False,490000,2174.0,49056324,12109-24th-Pl-SW-Burien-WA-98146
112,2.5,4.0,False,10000000,3270.0,49022077,111-SW-130th-St-Burien-WA-98146
113,3.0,5.0,False,300000,1740.0,48761183,1128-SW-134th-St-Burien-WA-98146
114,3.0,8.0,False,489000,3600.0,48754699,14970-5th-Ave-S-Burien-WA-98168
115,1.0,4.0,False,329000,2010.0,48713310,11906-23rd-Ave-SW-Burien-WA-98146
117,2.0,3.0,False,199000,1036.0,48944412,256-S-182nd-St-Burien-WA-98148
118,1.5,4.0,False,290000,1644.0,48935146,13823-1st-Ave-SW-Burien-WA-98166
120,1.75,3.0,False,294000,1560.0,2103361104,16821-33rd-Ave-SW-Burien-WA-98166
121,,,True,175000,,49049453,2526-SW-146th-Ln-Burien-WA-98166
122,4.0,5.0,False,975000,3900.0,49042245,11901-Ambaum-Blvd-SW-Burien-WA-98146
124,,0.0,True,149000,,48712645,148-SW-157th-St-Burien-WA-98166
125,,,True,310000,484.0,48944149,450-S-181st-St-Burien-WA-98148
128,1.5,3.0,False,296000,1670.0,82362610,11801-Ambaum-Blvd-SW-UNIT-1-Burien-WA-98146
130,1.75,3.0,False,275000,1370.0,48712420,15612-8th-Ave-SW-Burien-WA-98166
133,1.0,2.0,False,276000,1520.0,48734156,13012-3rd-Ave-S-Burien-WA-98168
135,,0.0,True,225000,,48751897,13230-14th-Ave-S-Burien-WA-98168
