,bath,bed,isVavcantLand,price,sqft,zpid,address
0,2.0,2.0,False,515000.0,900.0,49053959,601-Belmont-Ave-E-APT-E5-Seattle-WA-98102
1,1.0,1.0,False,450000.0,806.0,71551381,1610-Belmont-Ave-Seattle-WA-98122
2,2.0,2.0,False,515000.0,900.0,48708132,116-11th-Ave-E-APT-202-Seattle-WA-98102
3,1.75,2.0,False,428000.0,1045.0,48657902,505-E-Denny-Way-A405-Seattle-WA-98122
4,1.0,1.0,False,250000.0,548.0,2101029786,513-20th-Ave-E-C-Seattle-WA-98112
5,2.0,3.0,False,850000.0,1607.0,2101031506,1140-10th-Ave-E-A-Seattle-WA-98102
6,3.0,2.0,False,940000.0,1900.0,2101031502,1146-10th-Ave-E-A-Seattle-WA-98102
7,3.0,3.0,False,900000.0,1775.0,2109644889,626-13th-Ave-E-APT-L-Seattle-WA-98102
8,1.0,2.0,False,349000.0,790.0,88877079,530-Broadway-E-APT-134-Seattle-WA-98102
9,2.5,2.0,False,540000.0,1172.0,2101041132,227-B-23rd-Ave-E-Seattle-WA-98112
10,2.0,3.0,False,700000.0,1460.0,48725575,927-20th-Ave-E-Seattle-WA-98112
11,4.25,6.0,False,19000000.0,3320.0,65227536,1640-18th-Ave-APT-3-Seattle-WA-98122
12,1.0,1.0,False,310000.0,533.0,48710255,1950-15th-Ave-E-Seattle-WA-98112
13,4.0,4.0,False,16500000.0,3450.0,66109176,1813-13th-Ave-A-Seattle-WA-98122
14,3.5,3.0,False,10000000.0,1890.0,48684991,710-Belmont-Pl-E-APT-308-Seattle-WA-98102
15,1.0,1.0,False,380000.0,834.0,48976178,1208-E-Thomas-St-Seattle-WA-98102
16,1.75,4.0,False,775000.0,1950.0,67684943,200-17th-Ave-E-Seattle-WA-98112
17,1.0,1.0,False,395000.0,713.0,88876063,752-Bellevue-Ave-E-APT-308-Seattle-WA-98102
18,2.0,2.0,False,350000.0,692.0,48782487,1019-Belmont-Pl-E-Seattle-WA-98102
19,2.5,5.0,False,17300000.0,4930.0,2121744047,1185-Broadway-E-Seattle-WA-98102
20,1.75,3.0,False,26500000.0,2363.0,2101164072,1185-Broadway-E-UNIT-PH7-Seattle-WA-98102
21,2.0,3.0,False,26500000.0,2363.0,49097931,111-14th-Ave-E-APT-E-Seattle-WA-98112
22,1.0,1.0,False,398000.0,788.0,2111529332,1818-18th-Ave-APT-303-Seattle-WA-98122
23,1.0,1.0,False,339000.0,747.0,2101186913,125-16th-Ave-E-Seattle-WA-98112
24,1.0,1.0,False,367000.0,589.0,48724913,711-12th-Ave-E-Seattle-WA-98102
25,3.0,7.0,False,990000.0,2280.0,82365995,1408-12th-Ave-UNIT-508-Seattle-WA-98122
27,,,False,896000.0,,48657961,506-E-Howell-St-APT-E305-Seattle-WA-98122
28,1.0,1.0,False,315000.0,546.0,63335596,941-11th-Ave-E-Seattle-WA-98102
