,bath,bed,isVavcantLand,price,sqft,zpid,address
0,3.0,4.0,False,515000,3300.0,48969100,2630-S-226th-St-APT-C101-Des-Moines-WA-98198
1,1.0,2.0,False,120000,1075.0,49067026,21203-4th-Ave-S-Des-Moines-WA-98198
3,3.0,4.0,False,505000,2950.0,58381044,620-S-227th-St-APT-102-Des-Moines-WA-98198
5,2.5,3.0,False,505000,3160.0,48705880,1815-S-266th-Pl-Des-Moines-WA-98198
6,3.0,3.0,False,155000,1400.0,65228064,1936-S-240th-St-Des-Moines-WA-98198
8,,,False,,,48650140,22700-28th-Ave-S-APT-201-Des-Moines-WA-98198
9,2.0,2.0,False,117000,1138.0,48879835,24811-9th-Pl-S-Des-Moines-WA-98198
11,3.5,3.0,False,510000,3317.0,49141461,26920-13th-Ave-S-Des-Moines-WA-98198
12,3.0,4.0,False,450000,2600.0,48745936,2438-S-226th-St-Des-Moines-WA-98198
13,2.0,5.0,False,340000,2170.0,58387639,516-S-222nd-St-APT-7-Des-Moines-WA-98198
14,2.0,3.0,False,600000,1870.0,48747218,22211-Cliff-Ave-S-APT-104-Des-Moines-WA-98198
15,2.0,2.0,False,389000,1385.0,48705836,1604-S-268th-St-Des-Moines-WA-98198
18,2.25,4.0,False,,1820.0,49027848,22418-15th-Ave-S-Des-Moines-WA-98198
20,,,False,,,48650153,22700-28th-Ave-S-APT-303-Des-Moines-WA-98198
21,1.5,2.0,False,140000,1240.0,48772993,21261-14th-Ave-S-Des-Moines-WA-98198
22,1.75,4.0,False,305000,2040.0,2101202799,26108-21st-Ct-S-Des-Moines-WA-98198
23,3.0,4.0,False,315000,1901.0,49091620,23008-16th-Ave-S-Des-Moines-WA-98198
24,,0.0,True,87000,,2102203995,27733-10th-Ave-S-Des-Moines-WA-98198
25,,0.0,True,120000,,96663153,1515-S-222ND-St-Des-Moines-WA-98198
26,3.0,4.0,False,505000,2475.0,96690466,1509-S-222ND-St-Des-Moines-WA-98198
27,3.0,4.0,False,545000,2740.0,82363656,22831-30th-Ave-S-APT-306-Des-Moines-WA-98198
29,,,False,175000,,48674919,28819-Redondo-Shores-Dr-S-Des-Moines-WA-98198
31,1.5,4.0,False,279000,1740.0,117650082,2143-S-262nd-Ct-Des-Moines-WA-98198
32,2.5,3.0,False,300000,1511.0,48678514,24805-19th-Pl-S-Des-Moines-WA-98198
33,2.0,6.0,False,335000,2080.0,48944929,24301-17th-Ave-S-Des-Moines-WA-98198
34,2.0,4.0,False,280000,1740.0,2101337336,26425-8th-Ave-S-Des-Moines-WA-98198
35,,,True,399000,,61767361,27808-16th-Pl-S-Des-Moines-WA-98198
36,2.5,4.0,False,290000,1690.0,2101364177,26029-16th-Ct-S-Des-Moines-WA-98198
37,4.0,4.0,False,554000,3317.0,48953765,1019-S-197th-St-Des-Moines-WA-98148
38,1.0,4.0,False,290000,1270.0,49021147,913-S-278th-Pl-Des-Moines-WA-98198
39,4.0,5.0,False,26000000,7175.0,49067020,133-S-212th-St-Des-Moines-WA-98198
