,bath,bed,isVavcantLand,price,sqft,zpid,address
0,2.0,2.0,False,660000.0,1602.0,80120162,120-NW-39th-St-UNIT-305-Seattle-WA-98107
1,1.0,2.0,False,339000.0,729.0,70577856,511-N-39th-St-Seattle-WA-98103
2,2.0,3.0,False,670000.0,2167.0,84757782,715-N-42nd-St-Seattle-WA-98103
3,3.0,2.0,False,595000.0,1500.0,72495803,3901-1st-Ave-NW-UNIT-202-Seattle-WA-98107
4,1.0,1.0,False,315000.0,623.0,49139481,600-N-47th-St-Seattle-WA-98103
5,2.0,5.0,False,700000.0,2580.0,2101101275,4114-Linden-Ave-N-A-Seattle-WA-98103
6,2.5,3.0,False,680000.0,1446.0,48973419,4306-Winslow-Pl-N-A-Seattle-WA-98103
7,2.25,2.0,False,520000.0,1210.0,63335489,3624-Whitman-Ave-N-Seattle-WA-98103
8,1.0,2.0,False,335000.0,888.0,48656799,4415-4th-Ave-NW-Seattle-WA-98107
9,2.5,4.0,False,850000.0,2220.0,48692878,404-N-48th-St-Seattle-WA-98103
10,3.0,9.0,False,979000.0,3560.0,48998211,4332-Baker-Ave-NW-Seattle-WA-98107
11,3.0,5.0,False,599000.0,2600.0,49040960,120-N-46th-St-Seattle-WA-98103
13,,,False,399000.0,,58389558,3824-Evanston-Ave-N-APT-4-Seattle-WA-98103
14,3.0,3.0,False,718000.0,1427.0,61766907,4310-Dayton-Ave-N-APT-203-Seattle-WA-98103
15,1.0,1.0,False,250000.0,600.0,48769172,4124-Greenwood-Ave-N-Seattle-WA-98103
16,2.0,3.0,False,895000.0,2640.0,49139449,512-N-46th-St-B-Seattle-WA-98103
17,2.5,3.0,False,535000.0,1420.0,49139534,707-N-48th-St-Seattle-WA-98103
18,2.0,3.0,False,12500000.0,2590.0,2136199209,406-N-45th-St-APT-202-Seattle-WA-98103
19,1.0,2.0,False,359000.0,778.0,48973302,4416-Dayton-Ave-N-Seattle-WA-98103
20,1.5,2.0,False,900000.0,1132.0,48769080,4037-Dayton-Ave-N-Seattle-WA-98103
21,1.0,2.0,False,649000.0,1240.0,48998324,4241-Palatine-Ave-N-Seattle-WA-98103
22,1.0,2.0,False,460000.0,800.0,48998346,4223-Greenwood-Ave-N-Seattle-WA-98103
23,3.0,4.0,False,745000.0,2470.0,48769064,415-N-42nd-St-Seattle-WA-98103
24,1.75,3.0,False,989000.0,2050.0,48907466,4000-Midvale-Ave-N-Seattle-WA-98103
25,3.0,5.0,False,12900000.0,3000.0,49141103,5012-3rd-Ave-NW-Seattle-WA-98107
26,3.0,3.0,False,850000.0,1971.0,48722917,120-NW-40th-St-Seattle-WA-98107
27,2.0,3.0,False,785000.0,2100.0,49090133,4134-1st-Ave-NW-Seattle-WA-98107
28,1.75,2.0,False,700000.0,1540.0,2103659430,417-N-50th-St-Seattle-WA-98103
29,4.0,3.0,False,10000000.0,1772.0,48998252,106-NW-42nd-St-Seattle-WA-98107
30,3.75,6.0,False,18900000.0,3337.0,58382681,3652-Dayton-Ave-N-Seattle-WA-98103
31,3.5,3.0,False,800000.0,2640.0,80117029,3601-Fremont-Ave-N-1-Seattle-WA-98103
32,,,False,85200000.0,42542.0,82239721,3632-Palatine-Ave-N-A-Seattle-WA-98103
34,,,False,909000.0,3192.0,49139723,323-N-46th-St-Seattle-WA-98103
