,bath,bed,isVavcantLand,price,sqft,zpid,address
0,4.0,4.0,False,627000.0,2172.0,48935813,18868-SE-42nd-St-Issaquah-WA-98027
2,2.5,4.0,False,805000.0,3016.0,48886415,1506-NE-Iris-St-Issaquah-WA-98029
3,4.0,4.0,False,789000.0,2850.0,2137317896,1622-Huckleberry-Cir-Issaquah-WA-98029
4,3.0,2.0,False,395000.0,1476.0,48666874,24013-SE-103rd-Pl-Issaquah-WA-98027
5,2.0,4.0,False,495000.0,2173.0,48904761,25210-SE-35th-St-Issaquah-WA-98029
6,3.0,3.0,False,596000.0,1910.0,84762535,700-Front-St-S-Issaquah-WA-98027
7,1.0,2.0,False,245000.0,911.0,48792449,24607-SE-153rd-Pl-Issaquah-WA-98027
8,3.0,3.0,False,510000.0,2540.0,48905145,24939-SE-42nd-Dr-Issaquah-WA-98029
9,3.0,3.0,False,498000.0,1530.0,72495510,1729-11th-Ave-NE-Issaquah-WA-98029
11,4.0,4.0,False,820000.0,2347.0,49078832,23975-SE-41st-Pl-Issaquah-WA-98029
12,2.5,4.0,False,689000.0,2410.0,48968423,26609-SE-158th-St-Issaquah-WA-98027
13,2.5,3.0,False,850000.0,4330.0,2101034397,4642-238th-Way-SE-LOT-7-Issaquah-WA-98029
14,3.5,3.0,False,668000.0,2193.0,2101034401,4634-238th-Way-SE-LOT-8-Issaquah-WA-98029
15,3.5,3.0,False,665000.0,2193.0,48752124,13228-202nd-Ave-SE-Issaquah-WA-98027
16,2.75,3.0,False,14000000.0,3171.0,49016269,23842-SE-45th-St-Issaquah-WA-98029
18,3.0,3.0,False,507000.0,1467.0,63335996,23120-SE-Black-Nugget-Rd-UNIT-F5-Issaquah-WA-98029
19,2.5,3.0,False,425000.0,1471.0,2101044217,1416-14th-Pl-NE-Issaquah-WA-98029
21,2.5,5.0,False,810000.0,2980.0,2101051289,26255-SE-42nd-St-Issaquah-WA-98029
22,4.0,4.0,False,16200000.0,4491.0,2101065247,27240-SE-Grand-Ridge-Dr-Issaquah-WA-98029
23,,,True,495000.0,,2101065246,27243-SE-Grand-Ridge-Dr-Issaquah-WA-98029
24,3.0,3.0,False,575000,1804.0,49133308,975-Wildwood-Blvd-SW-Issaquah-WA-98027
25,3.0,4.0,False,599000,2090.0,2101077537,22223-SE-42nd-Ln-BLDG-26-Issaquah-WA-98029
26,1.75,2.0,False,289000,1196.0,2101077580,1408-Hinoki-Walk-NE-Issaquah-WA-98029
28,2.5,4.0,False,792000,3510.0,48961625,4225-191st-Ave-SE-Issaquah-WA-98027
29,2.5,4.0,False,765000,2130.0,48989145,290-Newport-Way-NW-A-5-Issaquah-WA-98027
30,1.5,2.0,False,155000,1015.0,63296393,2613-NE-Mulberry-St-Issaquah-WA-98029
31,3.0,4.0,False,665000,2120.0,58383720,22615-SE-44th-Pl-1634-Issaquah-WA-98029
32,2.0,2.0,False,365000,1482.0,96712211,1670-Pine-View-Dr-NW-Issaquah-WA-98027
33,4.0,5.0,False,16800000,4510.0,2101099898,4225-Providence-Point-Dr-SE-Issaquah-WA-98029
