,bath,bed,isVavcantLand,price,sqft,zpid,address
1,4.0,6.0,False,15000000.0,4977.0,48992715,14447-124th-Ave-NE-APT-19-Kirkland-WA-98034
2,2.0,3.0,False,260000.0,1352.0,2101016232,12404-NE-90th-St-Kirkland-WA-98033
3,3.0,3.0,False,929000.0,3295.0,48716718,10234-132nd-Ave-NE-Kirkland-WA-98033
4,2.0,3.0,False,528000.0,1808.0,123149547,10309-Slater-Ave-NE-Kirkland-WA-98033
5,2.75,4.0,False,856000.0,3042.0,123153761,10313-Slater-Ave-NE-Kirkland-WA-98033
6,3.75,4.0,False,800000.0,3042.0,2101024173,402-4th-Ave-432-Kirkland-WA-98033
7,1.75,2.0,False,365000.0,1067.0,48803632,12645-NE-130th-Way-APT-H301-Kirkland-WA-98034
8,1.0,1.0,False,142000.0,651.0,48716201,329-17th-Ave-Kirkland-WA-98033
9,2.0,4.0,False,642000.0,1610.0,2101028371,12408-NE-90th-St-Kirkland-WA-98033
10,3.75,4.0,False,11700000.0,3568.0,49031154,12510-NE-117th-Pl-APT-B2-Kirkland-WA-98034
11,1.0,2.0,False,175000.0,854.0,48917216,11650-73rd-Pl-NE-Kirkland-WA-98034
13,4.0,5.0,False,15000000.0,4875.0,48808222,8609-NE-127th-St-Kirkland-WA-98034
14,2.0,3.0,False,480000.0,1680.0,2101036806,12317-NE-109th-Way-Kirkland-WA-98033
15,3.0,3.0,False,515000.0,1765.0,48680960,315-Lake-Ave-W-Kirkland-WA-98033
16,3.0,5.0,False,43900000.0,3300.0,49104855,13331-NE-136th-Pl-Kirkland-WA-98034
17,2.0,3.0,False,375000.0,1040.0,48808163,13420-79th-Pl-NE-Kirkland-WA-98034
18,3.0,4.0,False,475000.0,1820.0,48899987,12120-NE-141st-St-Kirkland-WA-98034
19,2.0,3.0,False,538000.0,2690.0,2101041296,11607-Ne-90th-St-1625-Kirkland-WA-98033
20,2.25,2.0,False,430000.0,1262.0,2137320702,302-5th-Ave-202-Kirkland-WA-98033
21,2.5,2.0,False,13900000.0,2785.0,72495627,220-1st-St-APT-502-Kirkland-WA-98033
22,2.25,3.0,False,13500000.0,1320.0,48856726,12003-100th-Ave-NE-APT-103-Kirkland-WA-98034
23,2.0,2.0,False,250000.0,1041.0,48716103,28-18th-Ave-Kirkland-WA-98033
24,3.0,2.0,False,649000,1464.0,48691847,11210-NE-60th-St-Kirkland-WA-98033
25,4.0,5.0,False,16200000,3623.0,48901835,431-8th-Ave-W-Kirkland-WA-98033
26,5.0,5.0,False,22000000,4850.0,48899862,14220-118th-Pl-NE-Kirkland-WA-98034
27,1.5,3.0,False,370000,1290.0,2101090076,11010-NE-68th-St-APT-610-Kirkland-WA-98033
28,1.0,1.0,False,170000,616.0,48853705,11462-109th-Ave-NE-Kirkland-WA-98033
29,2.5,3.0,False,550000,1720.0,122065174,9603-Slater-Ave-NE-Kirkland-WA-98033
30,3.25,3.0,False,850000,2542.0,48811660,11730-NE-106th-Ln-Kirkland-WA-98033
31,2.5,3.0,False,699000,2430.0,2101101267,11427-NE-87th-St-Kirkland-WA-98033
32,4.0,4.0,False,975000,2926.0,2101106020,11422-102nd-Ct-NE-Kirkland-WA-98033
33,1.5,3.0,False,350000,1598.0,49045446,10511-NE-44th-St-Kirkland-WA-98033
34,3.5,3.0,False,11000000,2980.0,48851237,14125-108th-Ave-NE-Kirkland-WA-98034
35,1.0,3.0,False,425000,1270.0,48715011,9618-Observation-Dr-Kirkland-WA-98033
36,6.0,5.0,False,23000000,7280.0,88875372,8028-NE-126th-St-Kirkland-WA-98034
37,3.5,4.0,False,898000,3640.0,72496022,375-Kirkland-Ave-APT-218-Kirkland-WA-98033
38,1.0,1.0,False,,692.0,2101110551,6421-Lake-Washington-Blvd-W-301-Kirkland-WA-98033
39,1.0,1.0,False,350000,670.0,2101111365,12722-12724-100-Ave-NE-Kirkland-WA-98034
40,,0.0,False,600000,2100.0,48920749,6828-117th-Ave-NE-Kirkland-WA-98033
41,2.5,4.0,False,829000,2540.0,2101113951,532-Lake-St-S-Kirkland-WA-98033
42,2.0,2.0,False,918000,1745.0,49096965,11226-NE-68th-St-APT-A-Kirkland-WA-98033
44,,,False,,,58390621,12010-98th-Ave-NE-APT-108-Kirkland-WA-98034
45,2.0,2.0,False,278000,1012.0,96696168,6822-NE-130th-Pl-Kirkland-WA-98034
46,2.0,2.0,False,950000,1920.0,48901803,122-5th-Ave-W-Kirkland-WA-98033
47,3.5,4.0,False,18000000,3430.0,2101118611,10021-NE-122nd-St-APT-C-Kirkland-WA-98034
48,6.0,9.0,False,23800000,6343.0,2101121963,532-Lake-St-S-APT-G101-Kirkland-WA-98033
49,2.0,2.0,False,918000,1745.0,48902563,654-10th-Ave-Kirkland-WA-98033
50,3.0,3.0,False,928000,2500.0,2111726501,11107-NE-125th-Ln-APT-F123-Kirkland-WA-98034
51,1.0,1.0,False,170000,838.0,48931920,12311-NE-147th-Ct-APT-2D-Kirkland-WA-98034
53,,,False,,,49145804,4815-102nd-Ln-NE-Kirkland-WA-98033
54,3.0,3.0,False,898000,2275.0,48903034,11827-NE-73rd-St-Kirkland-WA-98033
55,4.0,4.0,False,900000,4110.0,2101129592,11218-NE-87th-St-1-Kirkland-WA-98033
56,4.0,4.0,False,10500000,2841.0,48705827,501-Kirkland-Ave-APT-206-Kirkland-WA-98033
57,2.0,2.0,False,499000,1273.0,2101135251,528-Lake-St-S-Kirkland-WA-98033
58,2.25,2.0,False,14000000,2100.0,119638357,13219-136th-Pl-NE-Kirkland-WA-98034
59,3.5,4.0,False,890000,3108.0,49130405,916-2nd-St-S-Kirkland-WA-98033
60,5.0,5.0,False,21800000,3981.0,123726457,10117-NE-147th-St-Bothell-WA-98011
61,4.0,4.0,False,950000,4525.0,48704205,11907-NE-67th-Pl-Kirkland-WA-98033
62,3.0,5.0,False,729000,2424.0,2108142651,12724-NE-144th-St-APT-E101-Kirkland-WA-98034
63,1.75,2.0,False,200000,935.0,2101146517,528-Lake-St-S-APT-A102-Kirkland-WA-98033
64,4.0,2.0,False,14000000,2100.0,49117725,12022-89th-Pl-NE-Kirkland-WA-98034
65,3.0,4.0,False,639000,2120.0,80115059,1113-Kirkland-Ave-APT-3B-Kirkland-WA-98033
66,1.0,2.0,False,295000,810.0,61767788,14335-Simonds-Rd-NE-APT-C302-Kirkland-WA-98034
