,bath,bed,isVavcantLand,price,sqft,zpid,address
0,2.0,3.0,False,575000.0,2800.0,2101020609,12043-33rd-Ave-NE-Seattle-WA-98125
1,3.0,2.0,False,100000.0,1311.0,48874923,6761-25th-Ave-SW-Seattle-WA-98106
2,1.75,3.0,False,325000.0,1110.0,88015163,3651-Whitman-Ave-N-Seattle-WA-98103
3,2.0,2.0,False,660000.0,1602.0,2101014651,1613-NW-65th-St-Seattle-WA-98117
5,3.5,4.0,False,10400000.0,2544.0,49041430,7309-19th-Ave-NW-Seattle-WA-98117
6,4.0,4.0,False,980000.0,2660.0,48804853,8824-39th-Ave-SW-Seattle-WA-98136
7,2.0,4.0,False,985000.0,3060.0,48942783,3423-W-Government-Way-APT-7-Seattle-WA-98199
8,2.0,2.0,False,360000.0,960.0,58391406,6561-5th-Ave-NE-APT-C-Seattle-WA-98115
9,2.0,2.0,False,485000.0,1188.0,48677170,2957-S-Dearborn-St-Seattle-WA-98144
10,2.0,3.0,False,530000.0,1410.0,49076193,2137-N-90th-St-Seattle-WA-98103
11,3.0,4.0,False,525000.0,1810.0,49013441,1719-Bigelow-Ave-N-Seattle-WA-98109
12,3.0,3.0,False,16000000.0,3050.0,48983690,2632-NW-North-Beach-Dr-Seattle-WA-98117
13,1.0,1.0,False,389000.0,610.0,49012240,1207-6th-Ave-N-Seattle-WA-98109
14,2.0,3.0,False,825000.0,1665.0,49123157,9056-4th-Ave-NW-Seattle-WA-98117
15,3.0,4.0,False,550000.0,1520.0,49031425,6505-Phinney-Ave-N-Seattle-WA-98103
16,3.0,5.0,False,11000000.0,3090.0,55791618,701-1st-Ave-N-APT-203-Seattle-WA-98109
18,3.0,3.0,False,400000.0,1875.0,49006344,2216-E-Calhoun-St-Seattle-WA-98112
19,3.0,5.0,False,14000000.0,3040.0,49115522,9702-13th-Ave-NW-Seattle-WA-98117
20,1.5,5.0,False,550000.0,2520.0,72500489,6300-Fauntleroy-Way-SW-UNIT-C-Seattle-WA-98136
21,2.0,3.0,False,387000.0,1150.0,89208364,2960-Eastlake-Ave-E-APT-201-Seattle-WA-98102
22,1.0,1.0,False,440000.0,788.0,72498667,1610-Belmont-Ave-APT-501-Seattle-WA-98122
23,2.0,2.0,False,515000.0,900.0,49147574,3811-E-Alder-St-Seattle-WA-98122
24,1.0,1.0,False,440000.0,788.0,72498667,1610-Belmont-Ave-APT-501-Seattle-WA-98122
25,2.0,2.0,False,515000.0,900.0,49053959,601-Belmont-Ave-E-APT-E5-Seattle-WA-98102
26,1.0,1.0,False,450000.0,806.0,80120162,120-NW-39th-St-UNIT-305-Seattle-WA-98107
27,1.0,2.0,False,339000.0,729.0,48798574,12753-6th-Ave-NW-Seattle-WA-98177
28,2.0,4.0,False,650000.0,2820.0,49073897,6033-41st-Ave-NE-Seattle-WA-98115
29,2.0,5.0,False,795000.0,2540.0,71551381,1610-Belmont-Ave-Seattle-WA-98122
30,2.0,2.0,False,515000.0,900.0,49001786,8631-45th-Ave-S-Seattle-WA-98118
31,1.0,5.0,False,480000.0,2156.0,48987082,11300-1st-Ave-NE-APT-303-Seattle-WA-98125
32,1.75,2.0,False,240000.0,1184.0,61718936,2716-Elliott-Ave-Seattle-WA-98121
33,2.0,2.0,False,700000.0,1503.0,50219428,5037-SW-Hanford-St-Seattle-WA-98116
34,2.25,3.0,False,759000.0,2200.0,2102458688,6527-4th-Ave-NE-B-Seattle-WA-98115
35,2.0,2.0,False,680000.0,1422.0,92570073,1920-4th-Ave-UNIT-2701-Seattle-WA-98101
36,2.5,3.0,False,33000000.0,2442.0,48991375,13734-25th-Ave-NE-Seattle-WA-98125
37,2.0,3.0,False,420000.0,1590.0,48919531,4114-Burke-Ave-N-Seattle-WA-98103
38,4.0,5.0,False,16900000.0,4000.0,48807566,12201-7th-Ave-NW-Seattle-WA-98177
39,3.0,4.0,False,595000.0,2310.0,82363950,76-Cedar-St-UNIT-101-Seattle-WA-98121
40,1.0,1.0,False,400000.0,894.0,117890166,2114-19TH-Ave-E-Seattle-WA
41,4.0,3.0,False,900000.0,2025.0,58383901,3613-22nd-Ave-W-A-Seattle-WA-98199
42,3.0,3.0,False,510000.0,1780.0,48835626,9737-Palatine-Ave-N-Seattle-WA-98103
43,3.0,6.0,False,799000.0,3080.0,2101028308,6404-22nd-Ave-NW-Seattle-WA-98107
44,4.0,3.0,False,680000.0,1502.0,2101028307,2052-NW-64th-St-Seattle-WA-98107
45,4.0,3.0,False,680000.0,1513.0,48671003,2614-NE-65th-St-Seattle-WA-98115
46,1.0,3.0,False,495000.0,1240.0,2101028537,4426-Montana-Cir-W-Seattle-WA-98199
47,3.0,3.0,False,799000.0,1674.0,2111361697,7012-Holly-Park-Dr-S-Seattle-WA-98118
48,1.75,2.0,False,428000.0,1045.0,48749870,2518-Nob-Hill-Pl-N-Seattle-WA-98109
49,2.0,4.0,False,965000.0,2750.0,2101028984,1906-Franklin-Place-E-203-Seattle-WA-98102
50,3.0,3.0,False,690000.0,1833.0,2101029232,1762-NW-61st-St-A-Seattle-WA-98107
51,2.0,3.0,False,690000.0,1668.0,48952913,9317-42nd-Ave-NE-Seattle-WA-98115
52,3.0,4.0,False,705000.0,1880.0,49121373,10203-47th-Ave-SW-APT-C15-Seattle-WA-98146
53,2.0,2.0,False,449000.0,1144.0,82363367,2720-3rd-Ave-APT-504-Seattle-WA-98121
54,2.0,1.0,False,685000.0,1112.0,2101029374,7021-Sand-Point-Way-NE-UNIT-B107-Seattle-WA-98115
55,1.0,1.0,False,179000.0,702.0,2101029369,10429-39th-Ave-SW-Seattle-WA-98146
56,3.0,4.0,False,800000.0,3122.0,82362566,500-5th-Ave-W-UNIT-304-Seattle-WA-98119
57,2.0,2.0,False,439000.0,915.0,48995752,923-N-81st-St-Seattle-WA-98103
58,1.0,2.0,False,439000.0,670.0,49041963,342-NW-76th-St-Seattle-WA-98117
59,2.0,3.0,False,685000.0,1960.0,48804208,4040-SW-Concord-St-Seattle-WA-98136
60,2.0,4.0,False,650000.0,2140.0,48795608,1917-4th-Ave-W-Seattle-WA-98119
61,3.0,4.0,False,17900000.0,4250.0,48866533,5508-S-Wallace-St-Seattle-WA-98178
62,3.0,5.0,False,399000.0,2800.0,2132682710,4743-Brooklyn-Ave-NE-Seattle-WA-98105
63,6.0,4.0,False,18900000.0,4600.0,48657902,505-E-Denny-Way-A405-Seattle-WA-98122
64,1.0,1.0,False,250000.0,548.0,2101029773,Undisclosed-Seattle-WA-98125
65,1.0,1.0,False,155000.0,680.0,48946611,9220-20th-Ave-NE-Seattle-WA-98115
66,1.0,2.0,False,395000.0,917.0,2101029786,513-20th-Ave-E-C-Seattle-WA-98112
67,2.0,3.0,False,850000.0,1607.0,49041739,6531-22nd-Ave-NW-Seattle-WA-98117
68,1.0,4.0,False,523000.0,1180.0,48839957,10735-63rd-Ave-S-Seattle-WA-98178
69,1.0,2.0,False,299000.0,1000.0,2101030638,9506-Ravenna-Ave-NE-APT-305-Seattle-WA-98115
70,1.0,1.0,False,185000.0,677.0,2101031081,7012-Holly-Park-Dr-S-UNIT-V-3-Seattle-WA-98118
