,bath,bed,isVavcantLand,price,sqft,zpid,address
1,3.5,4.0,False,10400000.0,2544.0,48942783,3423-W-Government-Way-APT-7-Seattle-WA-98199
2,2.0,2.0,False,360000.0,960.0,58383901,3613-22nd-Ave-W-A-Seattle-WA-98199
3,3.0,3.0,False,510000.0,1780.0,2101028537,4426-Montana-Cir-W-Seattle-WA-98199
4,3.0,3.0,False,799000.0,1674.0,49137089,3710-27th-Pl-W-APT-203-Seattle-WA-98199
5,1.0,1.0,False,185000.0,680.0,89822002,3411-21st-Ave-W-B-Seattle-WA-98199
6,4.0,3.0,False,565000.0,1760.0,49009400,3825-33rd-Ave-W-Seattle-WA-98199
7,3.0,3.0,False,575000.0,1900.0,49009939,3314-W-Armour-St-Seattle-WA-98199
8,1.0,3.0,False,675000.0,1150.0,48906511,3215-Magnolia-Blvd-W-Seattle-WA-98199
10,4.0,4.0,False,970000.0,2369.0,48726564,2570-Magnolia-Blvd-W-Seattle-WA-98199
11,6.25,5.0,False,44000000.0,5864.0,48824797,3243-22nd-Ave-W-Seattle-WA-98199
12,2.0,3.0,False,529000.0,1560.0,61719047,3451-22nd-Ave-W-A-Seattle-WA-98199
13,4.0,3.0,False,545000.0,1851.0,49084204,3022-W-Smith-St-Seattle-WA-98199
14,2.0,3.0,False,549000.0,1620.0,48824881,3455-21st-Ave-W-Seattle-WA-98199
15,2.5,3.0,False,450000.0,1400.0,48702895,2621-40th-Ave-W-Seattle-WA-98199
16,2.5,4.0,False,930000.0,3030.0,48930759,4433-Brygger-Dr-W-Seattle-WA-98199
17,2.5,4.0,False,820000.0,2300.0,2102215734,3010A-31st-Ave-W-Seattle-WA-98199
18,2.0,2.0,False,620000.0,1766.0,48824713,2628-23rd-Ave-W-Seattle-WA-98199
19,2.25,3.0,False,565000.0,1690.0,48677745,3518-29th-Ave-W-Seattle-WA-98199
20,3.0,4.0,False,915000.0,2920.0,48824880,3443-21st-Ave-W-Seattle-WA-98199
21,2.0,3.0,False,480000.0,1640.0,49013230,3850-32nd-Ave-W-Seattle-WA-98199
22,2.0,3.0,False,705000.0,2300.0,49009929,3036-36th-Ave-W-Seattle-WA-98199
23,1.0,3.0,False,675000.0,1620.0,48701034,4324-W-Cramer-St-Seattle-WA-98199
24,,,False,,,48855572,3214-43rd-Ave-W-Seattle-WA-98199
25,3.5,3.0,False,19800000,5280.0,49009427,3844-33rd-Ave-W-Seattle-WA-98199
26,2.0,4.0,False,649000,2000.0,2101190820,0-Perkins-Ln-W-Seattle-WA-98199
27,,,True,499000,,48726287,2515-Perkins-Ln-W-Seattle-WA-98199
28,3.0,3.0,False,13000000,2410.0,48942763,3725-W-Armour-Pl-Seattle-WA-98199
30,,,False,,,79975081,3045-20th-Ave-W-APT-408-Seattle-WA-98199
31,1.0,1.0,False,225000,555.0,49120585,3010-25th-Ave-W-Seattle-WA-98199
32,1.75,4.0,False,950000,2320.0,119114083,4400-Brygger-Dr-W-A-Seattle-WA-98199
33,2.25,3.0,False,529000,1570.0,48880378,2724-W-Blaine-St-Seattle-WA-98199
34,2.75,3.0,False,895000,3030.0,48663296,2932-25th-Ave-W-Seattle-WA-98199
35,2.5,4.0,False,849000,2990.0,48711739,2922-28th-Ave-W-Seattle-WA-98199
36,2.5,4.0,False,899000,2500.0,48700921,5443-45th-Ave-W-Seattle-WA-98199
37,3.0,4.0,False,15500000,3350.0,60972341,3302-W-Government-Way-APT-C-Seattle-WA-98199
38,2.25,3.0,False,480000,1440.0,48825834,2607-W-Newton-St-Seattle-WA-98199
39,4.0,4.0,False,12500000,3430.0,48825617,2438-W-Lynn-St-Seattle-WA-98199
40,3.5,4.0,False,10500000,2710.0,2101392654,4009-W-Briarcliff-Ln-Seattle-WA-98199
41,3.0,4.0,False,,2286.0,2101392656,3051-Briarcliff-Ln-W-Seattle-WA-98199
42,4.0,4.0,False,10600000,2369.0,48677326,5614-40th-Ave-W-Seattle-WA-98199
44,,,False,600000,,96676240,2120-W-Ruffner-St-Seattle-WA-98199
