,bath,bed,isVavcantLand,price,sqft,zpid,address
0,3.0,3.0,False,800000.0,2940.0,2106295817,2940-76th-Ave-SE-Mercer-Island-WA-98040
1,2.0,3.0,False,360000.0,1434.0,48885041,8750-Island-Heights-Ln-Mercer-Island-WA-98040
2,2.5,4.0,False,11000000.0,3970.0,48854128,6240-E-Mercer-Way-Mercer-Island-WA-98040
3,3.0,2.0,False,995000.0,2490.0,48966076,8112-SE-44th-St-Mercer-Island-WA-98040
4,3.25,6.0,False,17900000.0,4100.0,48941984,3610-88th-Ave-SE-Mercer-Island-WA-98040
5,3.0,4.0,False,898000.0,1870.0,48691475,9950-SE-35th-Pl-Mercer-Island-WA-98040
6,4.0,4.0,False,63000000.0,5000.0,48810926,9611-SE-72nd-St-Mercer-Island-WA-98040
7,4.0,4.0,False,25000000.0,3440.0,96708634,7820-W-Mercer-Way-Mercer-Island-WA-98040
8,,,True,150000.0,,48918825,5047-84th-Ave-SE-Mercer-Island-WA-98040
9,3.5,3.0,False,16000000.0,2810.0,48782752,3010-61st-Ave-SE-Mercer-Island-WA-98040
10,5.0,5.0,False,31900000.0,5800.0,48963083,8602-N-Mercer-Way-Mercer-Island-WA-98040
11,3.0,5.0,False,20000000.0,3540.0,48767892,6226-E-Mercer-Way-Mercer-Island-WA-98040
12,3.0,3.0,False,24000000.0,2400.0,48830353,8041-SE-71st-St-Mercer-Island-WA-98040
13,3.0,5.0,False,11500000.0,3044.0,49129251,8383-SE-50th-Pl-Mercer-Island-WA-98040
14,3.5,5.0,False,19900000.0,4740.0,48927307,7930-SE-34th-St-APT-401-Mercer-Island-WA-98040
15,4.0,2.0,False,500000.0,1797.0,49052978,4546-Forest-Ave-SE-Mercer-Island-WA-98040
16,1.75,3.0,False,14800000.0,1950.0,48955987,7228-SE-24th-St-Mercer-Island-WA-98040
17,5.0,5.0,False,27000000.0,5820.0,48783680,4345-Fernbrook-Dr-Mercer-Island-WA-98040
18,2.5,3.0,False,11500000.0,2580.0,2101320961,4703-88th-Ave-SE-Mercer-Island-WA-98040
19,,,True,600000.0,,48944990,2521-68th-Ave-SE-Mercer-Island-WA-98040
20,2.75,3.0,False,12000000.0,2400.0,48677129,6860-W-Mercer-Way-Mercer-Island-WA-98040
21,4.0,4.0,False,17500000.0,4360.0,48885155,3649-W-Mercer-Way-Mercer-Island-WA-98040
22,2.0,3.0,False,31900000.0,2140.0,49139382,3236-80th-Ave-SE-APT-3-Mercer-Island-WA-98040
23,2.0,3.0,False,450000.0,1375.0,48782356,4807-E-Mercer-Way-Mercer-Island-WA-98040
24,,,True,599000.0,,49095545,5330-Butterworth-Rd-Mercer-Island-WA-98040
25,9.0,5.0,False,26800000.0,14940.0,48994241,8231-SE-33rd-Pl-Mercer-Island-WA-98040
