,bath,bed,isVavcantLand,price,sqft,zpid,address
0,3.0,3.0,False,690000.0,2022.0,49058187,6260-139th-Ave-NE-APT-66-Redmond-WA-98052
1,1.0,1.0,False,170000.0,860.0,80115115,13307-239th-Way-NE-Redmond-WA-98053
2,2.0,2.0,False,470000.0,1350.0,48737901,17110-NE-84th-St-Redmond-WA-98052
3,3.0,3.0,False,499000.0,1750.0,2123287929,9212-162nd-Pl-NE-Redmond-WA-98052
5,4.0,4.0,False,965000.0,3596.0,48827467,2546-186th-Ave-NE-Redmond-WA-98052
6,3.0,3.0,False,780000.0,2620.0,48792715,7921-245th-Way-NE-Redmond-WA-98053
7,3.0,4.0,False,775000.0,2860.0,49107437,16315-NE-99th-St-Redmond-WA-98052
8,1.75,4.0,False,575000.0,2710.0,2101025099,11512-158th-Ave-NE-Redmond-WA-98052
9,3.0,4.0,False,296000.0,1791.0,80260784,18255-NE-111th-St-Redmond-WA-98052
10,2.5,3.0,False,729000.0,2600.0,2101027798,15831-NE-91st-Way-Redmond-WA-98052
11,3.0,3.0,False,465000.0,1496.0,117642447,12299-171st-Ct-NE-Redmond-WA-98052
12,4.0,4.0,False,930000.0,3350.0,49088189,13718-NE-72nd-Pl-Redmond-WA-98052
14,4.0,4.0,False,940000.0,3531.0,2104776582,23916-NE-115th-Ln-UNIT-102-Redmond-WA-98053
15,2.0,2.0,False,230000.0,1088.0,48845919,16004-NE-41st-Ct-10-B-Redmond-WA-98052
16,2.0,3.0,False,417000.0,1350.0,48886526,8401-213th-Pl-NE-Redmond-WA-98053
17,3.0,4.0,False,899000.0,3230.0,49106300,15303-NE-110th-Pl-Redmond-WA-98052
18,2.25,4.0,False,840000.0,2971.0,80116741,11050-Avondale-Rd-NE-Redmond-WA-98052
19,3.0,4.0,False,950000.0,3694.0,48871258,16734-NE-139th-Pl-Woodinville-WA-98072
20,3.0,3.0,False,890000.0,2770.0,48701933,2632-183rd-Ave-NE-Redmond-WA-98052
21,3.0,4.0,False,598000.0,3030.0,2124066632,16004-NE-41st-Ct-10B-Redmond-WA-98052
22,2.5,3.0,False,417000.0,1359.0,48952248,15670-NE-70th-Ct-6-Redmond-WA-98052
24,3.0,3.0,False,690000,1953.0,48691951,6011-204th-Pl-NE-Redmond-WA-98053
25,2.0,3.0,False,472000,2220.0,2140802447,7112-134th-Ave-NE-Redmond-WA-98052
26,2.0,4.0,False,539000,1700.0,2101071276,8420-169th-Ave-NE-101-Redmond-WA-98052
27,3.0,3.0,False,688000,2022.0,2101071284,16950-NE-84th-Ct-LOT-13-Redmond-WA-98052
28,4.0,4.0,False,966000,3596.0,58385305,11924-158th-Ave-NE-Redmond-WA-98052
29,2.5,4.0,False,865000,2970.0,2114890120,281-Redmond-Fall-City-Rd-NE-Carnation-WA-98014
30,,,True,75000,,2103150707,28800-Ames-Lake-Dr-NE-Redmond-WA-98053
33,3.0,4.0,False,871000,2776.0,2126933897,7581-Old-Redmond-Rd-APT-5-Redmond-WA-98052
