,_id,city,latitude,longitude,state,street,zipcode,editedfacts,appliances,architecture,basement,bathrooms,bedrooms,coolingsystem,coveredparkingspaces,exteriormaterial,finishedsqft,floorcovering,floornumber,heatingsources,heatingsystem,lotsizesqft,numfloors,numrooms,numunits,parkingtype,roof,rooms,usecode,view,yearbuilt,yearupdated,elementaryschool,highschool,homedescription,images_count,images_image,links_homedetails,links_homeinfo,links_photogallery,middleschool,neighborhood,pageviewcount_currentmonth,pageviewcount_total,agentname,agentprofileurl,externalurl,lastupdateddate,mls,openhousedates,status,type,price,schooldistrict,trans_desc,trans_score,trans_summary,walkscore_desc,walkscore_score,whatownerloves,zpid,school_index
0,5608e09eb2c959c08464aa34,Seattle,47.671937,-122.388245,WA,2410 NW 59th St # A,98107,,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Other,Finished,2.5,3.0,,,"Composition, Wood",1540.0,"Carpet, Hardwood, Slate, Tile",,Gas,"Forced air, Geothermal, Radiant, Wall",1305.0,3.0,,,"Garage - Attached, Off-street",Composition,"Dining room, Family room, Master bath, Office, Walk-in closet",Townhouse,"City, Territorial",2004.0,,,,"95 walk score. No dues. Upgraded property in best location for convenient living or lucrative investment. Wake up to Cafe Besalu's fresh pastries, then spend evenings exploring Seattle's best food, drinks, and live music in Old Ballard. Groceries and two parks a block away and Golden Gardens and Burke-Gilman within minutes. Steps away from the best farmers market in the city. Garage, fully-fenced landscaped yard, security system, bluetooth keyless entry, two full masters. Location and lifestyle!

NOTE (09/01): Added to MLS.  Viewable by all agents and potential buyers on various sites.   Price and description updated for consistency across sources.  Fresh hardwoods, paint, carpet, lighting, etc.  Move-in ready.  Willing to work with buyers directly.  Private showings, no mls key box, potential open house over Labor Day weekend. Reviewing offers shortly after.  Thanks, Bjorn ",9.0,None,http://www.zillow.com/homedetails/2410-NW-59th-St-A-Seattle-WA-98107/63335794_zpid/,http://www.zillow.com/homedetails/2410-NW-59th-St-A-Seattle-WA-98107/63335794_zpid/,http://www.zillow.com/homedetails/2410-NW-59th-St-A-Seattle-WA-98107/63335794_zpid/#image=lightbox%3Dtrue,,,5261,5261,,,,2015-09-04 03:06:00.0,,,Active,For sale by owner,579000.0,,Some Transit,51.0,"11 nearby routes: 11 bus, 0 rail, 0 other",Walker's Paradise,95.0,"Happy to discuss.  206-300-7335.  Thanks, Bjorn ",63335794,7.423021978021978
1,5608e09eb2c959c08464aa35,Seattle,47.67054,-122.38223,WA,5703 20th Ave NW,98107,,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Modern,,2.0,2.0,,1.0,"Metal, Wood, Wood products",1194.0,"Hardwood, Tile",,,,15598.0,4.0,,,Garage - Attached,Composition,"Dining room, Family room, Laundry room, Master bath, Office, Walk-in closet",Townhouse,Territorial,2008.0,,,,,15.0,None,http://www.zillow.com/homedetails/5703-20th-Ave-NW-Seattle-WA-98107/2101393141_zpid/,http://www.zillow.com/homedetails/5703-20th-Ave-NW-Seattle-WA-98107/2101393141_zpid/,http://www.zillow.com/homedetails/5703-20th-Ave-NW-Seattle-WA-98107/2101393141_zpid/#image=lightbox%3Dtrue,,,3184,3184,Melissa Servine,http://www.zillow.com/profile/melissaservine8/,http://www.melissaservine.johnlscott.com,2015-08-15 15:09:00.0,833927.0,,Active,For sale by agent,549950.0,,Some Transit,53.0,"12 nearby routes: 12 bus, 0 rail, 0 other",Walker's Paradise,97.0,,2101393141,9.285714285714286
2,5608e09eb2c959c08464aa36,Seattle,47.671789000000004,-122.380591,WA,1736 NW 59th St # B,98107,,"Dishwasher, Refrigerator, Range / Oven, Microwave, Garbage disposal, Washer",Other,Finished,3.25,3.0,,1.0,Wood products,1555.0,Hardwood,,Gas,"Forced air, Wall",1196.0,3.0,,,Garage - Attached,Composition,"Dining room, Laundry room, Master bath, Pantry, Walk-in closet",Townhouse,,2006.0,,,,"Outstanding location/Beautiful townhouse! This home has it all- A great floorplan, with slab granite kitchen, great cabinetry, gas FP, and spacious living and dining areas allocated to maintain both an open feel and functional room spaces. Lovely HWD floors on the main reflect the abundant light. All bedrooms have dedicated baths, upper bedrooms have vaulted ceilings & excellent storage. A charming fenced patio provides a special retreat. 1-car garage and on-demand hot water and heating systems. Sqft includes garage.",26.0,None,http://www.zillow.com/homedetails/1736-NW-59th-St-B-Seattle-WA-98107/70585223_zpid/,http://www.zillow.com/homedetails/1736-NW-59th-St-B-Seattle-WA-98107/70585223_zpid/,http://www.zillow.com/homedetails/1736-NW-59th-St-B-Seattle-WA-98107/70585223_zpid/#image=lightbox%3Dtrue,,,4040,4040,Elena Neely,http://www.zillow.com/profile/Elena-Neely-Broker/,,2015-08-21 15:07:00.0,832983.0,,Active,For sale by agent,597000.0,,Some Transit,52.0,"11 nearby routes: 11 bus, 0 rail, 0 other",Walker's Paradise,93.0,"Great floorpan with a wonderful open feeling yet still providing a sense of a true living room, dining room and kitchen. Each bedroom has it's own bath. And the patio area is delightful! Lots of closets.",70585223,7.423021978021978
3,5608e09eb2c959c08464aa37,Seattle,47.668006,-122.383071,WA,5440 Leary Ave NW UNIT 526,98107,,,,,1.0,1.0,,1.0,,813.0,,,,,45551.0,1.0,,,Garage - Attached,,,Condominium,Territorial,2007.0,2007.0,,,,1.0,http://photos3.zillowstatic.com/p_d/IS91nrspjmty6e1000000000.jpg,http://www.zillow.com/homedetails/5440-Leary-Ave-NW-UNIT-526-Seattle-WA-98107/84759478_zpid/,http://www.zillow.com/homedetails/5440-Leary-Ave-NW-UNIT-526-Seattle-WA-98107/84759478_zpid/,http://www.zillow.com/homedetails/5440-Leary-Ave-NW-UNIT-526-Seattle-WA-98107/84759478_zpid/#image=lightbox%3Dtrue,,,1182,1182,,,,2015-07-27 10:48:00.0,,,,Make me move,370000.0,,Some Transit,53.0,"12 nearby routes: 12 bus, 0 rail, 0 other",Walker's Paradise,97.0,,84759478,9.285714285714286
4,5608e09eb2c959c08464aa38,Seattle,47.67518,-122.38343,WA,2043A NW 64th St,98107,,,,,2.5,3.0,,,,1346.0,,,,,1270.0,,,,,,,SingleFamily,,2015.0,,,,"Gorgeous New Ballard stand alone home. Highly desirable front facing outlook. Sleek Modern design with soaring ceilings and walls of windows with abundant natural light. Tasteful high end finishes. Showpiece floating staircase, steel railing systems, gorgeous tile work and beautiful hardwood floors. Open kitchen concept with stainless appliances. Attention to detail shows throughout. Huge rooftop deck w/ wet bar at entry, water, elect, gas on deck and expansive views! Large private garage. ",20.0,None,http://www.zillow.com/homedetails/2043A-NW-64th-St-Seattle-WA-98107/2102027315_zpid/,http://www.zillow.com/homedetails/2043A-NW-64th-St-Seattle-WA-98107/2102027315_zpid/,http://www.zillow.com/homedetails/2043A-NW-64th-St-Seattle-WA-98107/2102027315_zpid/#image=lightbox%3Dtrue,,,2469,2469,,,,2015-06-10 13:29:00.0,,,,Make me move,750000.0,,Some Transit,50.0,"10 nearby routes: 10 bus, 0 rail, 0 other",Very Walkable,85.0,"Designer window treatments added in 2015. Outstanding location next to excellent schools and within walking distance to Ballard's market street, restaurants, and farmer's market.",2102027315,9.125
5,5608e09eb2c959c08464aa3a,Seattle,47.673291,-122.378332,WA,1548 NW 61st St,98107,,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Modern,,1.75,2.0,,,"Wood, Cement / Concrete",900.0,"Concrete, Softwood",,Gas,Radiant,1306.0,2.0,,,Off-street,Composition,"Master bath, Office, Walk-in closet",SingleFamily,Territorial,2011.0,,Adams,Ballard High,"New construction house in the heart of Ballard. Great open floor plan with large master bedroom loft. Vaulted ceilings with tons of light, modern styling and finishes. Tasteful gourmet kitchen with stainless steel appliances. Beautifully tiled bathrooms. Concrete and bamboo floors, plus radiant heat flooring. Ahhh the radiant heat floors! Private assigned off street parking. Desirable Ballard location, walk to shops and restaurants. A whopping walking score of 94! The kitchen and baths are not the red you see but a creamy chartreuse. The property now also includes a 400 square foot outdoor fully tiled entertainment patio with a privacy fence, trees in commercial pots and modern french doors in place of the basic sliding door. Just open the doors and you have an entire outdoor room. The builders didn't cut corners and made this a bright, comfortable and luxurious place to live. ",9.0,None,http://www.zillow.com/homedetails/1548-NW-61st-St-Seattle-WA-98107/48823195_zpid/,http://www.zillow.com/homedetails/1548-NW-61st-St-Seattle-WA-98107/48823195_zpid/,http://www.zillow.com/homedetails/1548-NW-61st-St-Seattle-WA-98107/48823195_zpid/#image=lightbox%3Dtrue,Whitman Mid,,11729,11729,,,,2015-04-28 14:41:00.0,,,,Make me move,700000.0,SEA,Some Transit,52.0,"10 nearby routes: 10 bus, 0 rail, 0 other",Very Walkable,89.0,"Great use of space, feels much bigger than its 900 sq ft. The interior and exterior are made with quality materials and the builders were meticulious about building a solid, square and high quality house. What can I say about radiant heat floors! They keep the house warm with no nasty noise or ""stuff"" floating through the air. The builders added lots of extra touches including lighting in really great places. The short walk to ""all things Ballard"" is awesome. I leave the car at home all weekend. It is also close to local parks and even though it's blocks from Market Street, the neighborhood is incredibly quiet. I've also had a 400 square foot outdoor patio professionally tiled with 2'x'2' concrete tiles. It's like an extra large room outdoors. Perfect for summer parties. There's no up-keep, just clean the house and go! Also this is a HOUSE, not a townhouse or condo. No dues, you own the property as well. ",48823195,9.166666666666666
6,5608e09eb2c959c08464aa3b,Bellevue,47.590065,-122.162865,WA,2220 132nd Ave SE APT A217,98005,,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,,1.5,1.0,,1.0,Vinyl,1109.0,"Carpet, Tile",2.0,,,407655.0,3.0,6.0,105.0,Garage - Attached,Composition,"Breakfast nook, Dining room, Master bath, Office, Walk-in closet",Condominium,Territorial,1999.0,1999.0,,,"Spacious 1109 sq.ft. 1 bed w/large study & 1.5 bath condo. Brand new carpet, huge kitchen w/pantry, granite & ss/appliances.  Large master w/big walk-in closet and 5 piece bath. South facing deck provides lots of natural light!  Large hallway storage and stairs to gated common garage right by door! Amenities include pool, hot tub, classy gathering room w/kitchen, business center, gym & secure entry. Great location by I-405, I-90, Factoria, Bellevue & Seattle downtown! Bellevue schools!",16.0,None,http://www.zillow.com/homedetails/2220-132nd-Ave-SE-APT-A217-Bellevue-WA-98005/63301640_zpid/,http://www.zillow.com/homedetails/2220-132nd-Ave-SE-APT-A217-Bellevue-WA-98005/63301640_zpid/,http://www.zillow.com/homedetails/2220-132nd-Ave-SE-APT-A217-Bellevue-WA-98005/63301640_zpid/#image=lightbox%3Dtrue,,,462,462,Diane Wilcox,http://www.zillow.com/profile/Diane-M.-Wilcox/,,2015-09-25 10:03:00.0,851822.0,"Sun, 9/27/2015, 10:30am-12:30pm",Active,For sale by agent,298000.0,,Some Transit,42.0,"11 nearby routes: 11 bus, 0 rail, 0 other",Car-Dependent,32.0,"This condo is very spacious and the den can certainly work as a small child's room, a den, study, movie room, or guest room.  The half bath is conveniently located.    The community has all the great features like a beautiful pool, hot tub fitness center, business center, gathering room and guest parking.   The location is amazing being within minutes to I-90, Bellevue or Factoria!",63301640,8.25
7,5608e09eb2c959c08464aa3c,Bellevue,47.591208,-122.20640300000001,WA,2129 Blarney Pl SE,98004,,Dryer,,,,,,,Wood,,Linoleum / Vinyl,,Gas,Forced air,15246.0,,,,Carport,Composition,,VacantResidentialLand,Mountain,,,Enatai Elem,Bellevue High,"Bring your builder and create the dream on Blarney Place near Killarney Circle. Pink and grey sunsets over the sparkling waters of Lake Washington are framed in boughs of evergreens. Last time on the market was 1972! 1080sf, one bedroom cottage with flagstone patio suggests the location for you new home. Specimen rhodies and camellias. Property accessible from either 101st Ave SE or 100th Ave SE.  Value is in the land. Make it yours!",6.0,None,http://www.zillow.com/homedetails/2129-Blarney-Pl-SE-Bellevue-WA-98004/48898686_zpid/,http://www.zillow.com/homedetails/2129-Blarney-Pl-SE-Bellevue-WA-98004/48898686_zpid/,http://www.zillow.com/homedetails/2129-Blarney-Pl-SE-Bellevue-WA-98004/48898686_zpid/#image=lightbox%3Dtrue,Chinook Mid,,5547,5547,,,,2015-09-25 08:32:00.0,,,Active,For sale by owner,1299000.0,,Some Transit,38.0,"9 nearby routes: 9 bus, 0 rail, 0 other",Car-Dependent,13.0,,48898686,9.0
8,5608e09eb2c959c08464aa3d,Bellevue,47.619262,-122.13535300000001,WA,1035 156th Ave NE APT 24T,98007,,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer",Other,None,2.5,2.0,,2.0,Wood,1465.0,"Carpet, Laminate",,,,174514.0,2.0,5.0,,Garage - Detached,Composition,"Dining room, Family room, Laundry room, Master bath, Pantry, Workshop, Walk-in closet",Townhouse,Territorial,1972.0,2005.0,,,"This is a one-owner home that has been lovingly and constantly updated and upgraded. It is located in the Crossroads area of Bellevue, a thriving premier area of Bellevue close and convenient, within walking distance to public transportation, streets and highways. All this, and yet the Innisfree Home Owner Community is quite secluded, secure, and Beautiful to behold.",22.0,None,http://www.zillow.com/homedetails/1035-156th-Ave-NE-APT-24T-Bellevue-WA-98007/48883639_zpid/,http://www.zillow.com/homedetails/1035-156th-Ave-NE-APT-24T-Bellevue-WA-98007/48883639_zpid/,http://www.zillow.com/homedetails/1035-156th-Ave-NE-APT-24T-Bellevue-WA-98007/48883639_zpid/#image=lightbox%3Dtrue,,,735,735,Richard McPherson,http://www.zillow.com/profile/McPherson-Homes-Land/,,2015-09-24 20:54:00.0,849633.0,"Sun, 9/27/2015, 1:00pm-4:00pm",Active,For sale by agent,400000.0,,Some Transit,46.0,"4 nearby routes: 4 bus, 0 rail, 0 other",Very Walkable,75.0,"Everything has been Professionally updated (not by homeowners)  - Custom Kitchen, Cabinets, Granite counter tops in kitchen and bathrooms - Family room, Kitchen and Bathrooms all updated including ceilings, lighting, cabinetry... - homes wiring, lighting, plumbing, etc. all updated to 2015 quality and standards - professionally designed patio - quality low E windows throughout - oversized 2-car Garage, excellent custom workshop - ",48883639,7.896212121212122
9,5608e09eb2c959c08464aa3e,Bellevue,47.587751000000004,-122.18166200000002,WA,2600 118th Ave SE APT 4-302,98005,,,,,2.0,2.0,,,,885.0,,,,,,,,,,,,Condominium,,1990.0,,,,"Beautiful TOP FLOOR UNIT!!! Excellent location with easy access to Hwys & downtown Bellevue. Access to walking trails across the street! 2 bd/2 full baths. Includes full sized washer and dryer in unit. All new appliances (in by 7/16), carpet and paint! Very light and private! Individual garage plus 2 addnl pkng spots w/permits. Well managed HOA with sufficient reserves. NO assessments. NO rental cap (1 yr owner occupied required prior to renting). Nice place to call home!",25.0,None,http://www.zillow.com/homedetails/2600-118th-Ave-SE-APT-4-302-Bellevue-WA-98005/2101718751_zpid/,http://www.zillow.com/homedetails/2600-118th-Ave-SE-APT-4-302-Bellevue-WA-98005/2101718751_zpid/,http://www.zillow.com/homedetails/2600-118th-Ave-SE-APT-4-302-Bellevue-WA-98005/2101718751_zpid/#image=lightbox%3Dtrue,,,2577,2577,Verla Calderon,http://www.zillow.com/profile/listingsforless/,,2015-09-25 10:47:00.0,817797.0,,Active,For sale by agent,254900.0,,Some Transit,42.0,"8 nearby routes: 8 bus, 0 rail, 0 other",Car-Dependent,8.0,,2101718751,9.0
