,bath,bed,isVavcantLand,price,sqft,zpid,address
0,4.0,5.0,False,16900000,4000.0,49143608,5112-Keystone-Pl-N-Seattle-WA-98103
1,2.0,3.0,False,11900000,2260.0,48789484,1409-N-41st-St-Seattle-WA-98103
2,2.0,2.0,False,645000,1660.0,49011610,4909-Green-Lake-Way-N-Seattle-WA-98103
3,,0.0,False,825000,3300.0,48898358,5806-Latona-Ave-NE-Seattle-WA-98105
4,3.25,5.0,False,839000,2930.0,48997591,3900-2nd-Ave-NE-APT-405-Seattle-WA-98105
5,2.0,2.0,False,800000,1442.0,49143952,114-NE-51st-St-Seattle-WA-98105
6,2.0,4.0,False,835000,2860.0,49114926,1815-N-55th-St-Seattle-WA-98103
7,2.0,3.0,False,749000,1820.0,48847661,4321-4th-Ave-NE-Seattle-WA-98105
8,4.0,6.0,False,940000,2630.0,2105677171,1730-N-Northlake-Way-B315-Seattle-WA-98103
9,1.75,2.0,False,530000,1026.0,80387842,2143-N-Northlake-Way-APT-9-Seattle-WA-98103
10,1.0,1.0,False,490000,748.0,49143958,119-NE-52nd-St-Seattle-WA-98105
11,1.0,1.0,False,510000,1020.0,48898424,126-NE-57th-St-Seattle-WA-98105
12,1.0,2.0,False,399000,870.0,48919693,2304-N-38th-St-Seattle-WA-98103
13,3.0,3.0,False,11000000,2620.0,2101390850,2143-N-Northlake-Way-30-Seattle-WA-98103
14,0.75,1.0,False,347000,720.0,48898333,117-NE-59th-St-Seattle-WA-98105
16,,,False,846000,,49011649,1319-N-49th-St-Seattle-WA-98103
17,,0.0,False,380000,1190.0,49143622,5211-Kensington-Pl-N-Seattle-WA-98103
19,1.0,3.0,False,480000,1070.0,63925624,1310-N-Lucas-Pl-UNIT-301-Seattle-WA-98103
20,2.0,2.0,False,400000,916.0,48997586,3900-2nd-Ave-NE-APT-307-Seattle-WA-98105
21,2.0,2.0,False,500000,1100.0,49011628,1107-N-50th-St-Seattle-WA-98103
22,3.0,4.0,False,775000,3000.0,82365807,2143-N-Northlake-Way-APT-65-Seattle-WA-98103
23,1.1,2.0,False,519000,900.0,48928071,4006-1st-Ave-NE-Seattle-WA-98105
24,2.0,3.0,False,899000,2250.0,49144164,5728-Woodlawn-Ave-N-Seattle-WA-98103
26,1.0,3.0,False,752000,1700.0,49011727,1413-N-47th-St-Seattle-WA-98103
27,2.0,4.0,False,875000,2400.0,48847555,4327-Thackeray-Pl-NE-Seattle-WA-98105
28,2.0,3.0,False,10500000,2370.0,82366382,2143-N-Northlake-Way-APT-30-Seattle-WA-98103
29,,1.0,False,347000,720.0,49102678,4516-Thackeray-Pl-NE-Seattle-WA-98105
30,2.75,4.0,False,950000,2000.0,49102717,4757-Thackeray-Pl-NE-Seattle-WA-98105
31,4.0,4.0,False,768000,2950.0,48898162,342-NE-59th-St-Seattle-WA-98105
32,3.0,4.0,False,839000,2500.0,49144030,1406-N-55th-St-Seattle-WA-98103
33,3.5,3.0,False,650000,1700.0,49011653,4803-Stone-Way-N-Seattle-WA-98103
34,2.0,3.0,False,755000,1960.0,48898292,2219-N-59th-St-Seattle-WA-98103
35,4.0,4.0,False,15000000,2600.0,48789443,1408-N-36th-St-Seattle-WA-98103
36,4.0,5.0,False,18000000,3581.0,49114918,1909-N-55th-St-Seattle-WA-98103
37,1.0,3.0,False,785000,2280.0,48920152,3503-Wallingford-Ave-N-Seattle-WA-98103
39,1.0,4.0,False,660000,1720.0,65228606,4022-Stone-Way-N-Seattle-WA-98103
40,2.5,2.0,False,430000,1359.0,63925627,4022-Stone-Way-N-Seattle-WA-98103
41,1.75,2.0,False,356000,880.0,48927983,408-NE-40th-St-Seattle-WA-98105
